# #runID ohdu lambdaBGbin
6347 8 0.210418
6347 9 0.151816
6347 10 0.069663
6347 13 0.154335
6347 14 0.159755
6347 15 0.040895
6348 2 0.247027
6348 3 0.185104
6348 4 0.172256
6348 5 0.209444
6348 6 0.202352
6348 7 0.144200
6348 8 0.213403
6348 9 0.171219
6348 10 0.064144
6348 13 0.163718
6348 14 0.154916
6348 15 0.028530
6349 2 0.232123
6349 3 0.171380
6349 4 0.193747
6349 5 0.210521
6349 6 0.236779
6349 7 0.151383
6349 8 0.222260
6349 9 0.156985
6349 10 0.072860
6349 13 0.173213
6349 14 0.115092
6349 15 0.034109
6350 2 0.235020
6350 3 0.196988
6350 4 0.183975
6350 5 0.220907
6350 6 0.202809
6350 7 0.140606
6350 8 0.221578
6350 9 0.170923
6350 10 0.077809
6350 13 0.163108
6350 14 0.146750
6350 15 0.015933
6351 2 0.215012
6351 3 0.170492
6351 4 0.167241
6351 5 0.217858
6351 6 0.235885
6351 7 0.146001
6351 8 0.229299
6351 9 0.180270
6351 10 0.045338
6351 13 0.184937
6351 14 0.150829
6351 15 0.024267
6352 2 0.222864
6352 3 0.180241
6352 4 0.202285
6352 5 0.226318
6352 6 0.224540
6352 7 0.156752
6352 8 0.202711
6352 9 0.170776
6352 10 0.080211
6352 13 0.183946
6352 14 0.165133
6352 15 0.041168
6353 2 0.219039
6353 3 0.179495
6353 4 0.188674
6353 5 0.215687
6353 6 0.221241
6353 7 0.159251
6353 8 0.221961
6353 9 0.172683
6353 10 0.081903
6353 13 0.168523
6353 14 0.168361
6353 15 0.034604
6354 2 0.215533
6354 3 0.191902
6354 4 0.186882
6354 5 0.202928
6354 6 0.213893
6354 7 0.137712
6354 8 0.228519
6354 9 0.161406
6354 10 0.077800
6354 13 0.166333
6354 14 0.157795
6354 15 0.022549
6355 2 0.199846
6355 3 0.188542
6355 4 0.190347
6355 5 0.227591
6355 6 0.180045
6355 7 0.201578
6355 8 0.218592
6355 9 0.143234
6355 10 0.079815
6355 13 0.150606
6355 14 0.149550
6355 15 0.030918
6356 2 0.220012
6356 3 0.157184
6356 4 0.204649
6356 5 0.206260
6356 6 0.188409
6356 7 0.151681
6356 8 0.198104
6356 9 0.174318
6356 10 0.073064
6356 13 0.174701
6356 14 0.164709
6356 15 0.006462
6357 2 0.241013
6357 3 0.194274
6357 4 0.184326
6357 5 0.217552
6357 6 0.214628
6357 7 0.154343
6357 8 0.192753
6357 9 0.180926
