# #runID ohdu sigmaOSbin
6499 12 6.940111
6499 13 12.776656
6499 14 12.582972
6499 15 12.543640
6498 2 11.472645
6498 3 12.097104
6498 4 11.360588
6498 5 11.355266
6498 6 16.485649
6498 7 10.892676
6498 8 11.868074
6498 9 12.679466
6498 10 12.354966
6498 11 6.655764
6498 12 6.965077
6498 13 12.799200
6498 14 12.292204
6498 15 12.582441
6497 2 11.423950
6497 3 12.103951
6497 4 11.424288
6497 5 11.352420
6497 6 16.550856
6497 7 10.888947
6497 8 11.910669
6497 9 12.644828
6497 10 12.327415
6497 11 6.670629
6497 12 6.947386
6497 13 12.747720
6497 14 12.130478
6497 15 12.577487
6496 2 11.471345
6496 3 12.132023
6496 4 11.374265
6496 5 11.378799
6496 6 16.484681
6496 7 10.875991
6496 8 11.897623
6496 9 12.701460
6496 10 12.363473
6496 11 6.658628
6496 12 6.977062
6496 13 12.774997
6496 14 12.171168
6496 15 12.574417
6495 2 11.414122
6495 3 12.106752
6495 4 11.417072
6495 5 11.347835
6495 6 16.493986
6495 7 10.831932
6495 8 11.854675
6495 9 12.644021
6495 10 12.359335
6495 11 6.669422
6495 12 6.963164
6495 13 12.813988
6495 14 12.149692
6495 15 12.614589
6494 2 11.449183
6494 3 12.096326
6494 4 11.364015
6494 5 11.360241
6494 6 16.555544
6494 7 10.874124
6494 8 11.882544
6494 9 12.615547
6494 10 12.362792
6494 11 6.674441
6494 12 6.924075
6494 13 12.757410
6494 14 12.066298
6494 15 12.601657
6493 2 11.480675
6493 3 12.103450
6493 4 11.333113
6493 5 11.387499
6493 6 16.482708
6493 7 10.899910
6493 8 11.888526
6493 9 12.646807
6493 10 12.343729
6493 11 6.684010
6493 12 6.917763
6493 13 12.775591
6493 14 12.138705
6493 15 12.596536
6492 2 0.131003
6492 3 12.071957
6492 4 11.342948
6492 5 11.374117
6492 6 16.557124
6492 7 10.880499
6492 8 11.908165
6492 9 12.621478
6492 10 12.340225
6492 11 6.683282
6492 12 6.940438
6492 13 12.741710
6492 14 12.307862
6492 15 12.533309
6491 2 11.492077
6491 3 12.097347
6491 4 11.366525
6491 5 11.391977
6491 6 16.546344
6491 7 10.902862
6491 8 11.867962
6491 9 12.642949
6491 10 12.347253
6491 11 6.685771
6491 12 6.969993
6491 13 12.785298
6491 14 12.192694
6491 15 12.600752
6490 2 11.418231
6490 3 12.092238
6490 4 11.349371
6490 5 11.379290
6490 6 16.496594
6490 7 10.838570
6490 8 11.839935
6490 9 12.652044
6490 10 12.373942
6490 11 6.666906
6490 12 6.972127
6490 13 12.800882
6490 14 12.182540
6490 15 12.605879
6489 2 11.434167
6489 3 12.094213
6489 4 11.296847
6489 5 11.413404
6489 6 16.474035
6489 7 10.933594
6489 8 11.898463
6489 9 12.649361
6489 10 12.331889
6489 11 6.667842
6489 12 6.966191
