# E_R[keV], dN/dE
1.09, 0.01368777467838143
1.1, 0.012969988443297116
1.11, 0.012292653426354843
1.12, 0.011653327010736588
1.1300000000000001, 0.01104970858828972
1.1400000000000001, 0.01047965429646522
1.1500000000000001, 0.009941158982844658
1.16, 0.00943234555870399
1.17, 0.008951456489212235
1.18, 0.008496845650047312
1.19, 0.008066970815342883
1.2, 0.0076603931003541076
1.21, 0.00727575186286103
1.22, 0.0069117814532654274
1.23, 0.0065672888202113235
1.24, 0.006241160374420263
1.25, 0.0059323441489420895
1.26, 0.005639856832989555
1.27, 0.005362774733209963
1.28, 0.005100230280319257
1.29, 0.004851406323450178
1.3, 0.004615536716607942
1.31, 0.004391900501918136
1.32, 0.0041798189933433885
1.33, 0.003978653941231856
1.34, 0.0037878057320958913
1.35, 0.0036067104108781127
1.36, 0.003434833725393205
1.37, 0.003271677811576256
1.3800000000000001, 0.003116768208159221
1.3900000000000001, 0.0029696613936619947
1.4000000000000001, 0.0028299390815877783
1.41, 0.0026972051862351556
1.42, 0.0025710875339300192
1.43, 0.0024512350127058056
1.44, 0.0023373163114122925
1.45, 0.002229018738251908
1.46, 0.002126047113504968
1.47, 0.002028122731565392
1.48, 0.0019349823877433854
1.49, 0.0018463774656017555
1.5, 0.001762074314910762
1.51, 0.0016818498397897824
1.52, 0.0016054946800262194
1.53, 0.0015328111901353218
1.54, 0.001463611204891923
1.55, 0.0013977181587258001
1.56, 0.0013349641066491855
1.57, 0.0012751901729656692
1.58, 0.0012182468961019742
1.59, 0.0011639918773165311
1.6, 0.0011122905075170583
1.61, 0.0010630154996776752
1.62, 0.0010160462794948455
1.6300000000000001, 0.0009712686120397572
1.6400000000000001, 0.0009285742502165091
1.6500000000000001, 0.000887860603694234
1.6600000000000001, 0.0008490304270662493
1.67, 0.0008119915260683002
1.68, 0.000776656480761989
1.69, 0.0007429426754253177
1.7, 0.0007107713419212346
1.71, 0.0006800677372354031
1.72, 0.0006507614089076107
1.73, 0.0006227850586862415
1.74, 0.0005960749211139348
1.75, 0.0005705706460655885
1.76, 0.0005462146598534764
1.77, 0.0005229524196193962
1.78, 0.0005007322875070556
1.79, 0.0004795048046110261
1.8, 0.00045922330137736136
1.81, 0.00043984350914910285
1.82, 0.0004213230079272657
1.83, 0.0004036216818220092
1.84, 0.00038670138643228324
1.85, 0.0003705258470639074
1.86, 0.0003550605624503437
1.87, 0.0003402727136657156
1.8800000000000001, 0.0003261310779377419
1.8900000000000001, 0.0003126059470855369
1.9000000000000001, 0.00029966905032313517
1.9100000000000001, 0.00028729348118482624
1.92, 0.00027545362834252297
1.93, 0.0002641251107329064
1.94, 0.00025328484750384607
1.95, 0.00024291060535435398
1.96, 0.00023298133058576953
1.97, 0.00022347708557686114
1.98, 0.00021437870541356175
1.99, 0.00020566797426872622
2., 0.00019732766144286187
