# ER[keV], dN/dER[1]
0., 273.2288754967061
0.01, 191.28776758536733
0.02, 161.25290700342333
0.03, 141.6738068881821
0.04, 126.94411810908478
0.05, 115.22348968545431
0.06, 105.58086360682785
0.07, 97.47456605171827
0.08, 90.58461318013312
0.09, 84.69569736690899
0.1, 79.613496909053
0.11, 75.15304241626306
0.12, 71.16550579810294
0.13, 67.55167221876873
0.14, 64.25137196261348
0.15, 61.220644855325006
0.16, 58.423457384921164
0.17, 55.82990565047097
0.18, 53.41516448636938
0.19, 51.16003400127331
0.2, 49.0488255702345
0.21, 47.06795126636431
0.22, 45.20555914411544
0.23, 43.45124776599835
0.24, 41.79583759489567
0.25, 40.23118609033797
0.26, 38.75003678257725
0.27, 37.34589504700978
0.28, 36.012925066493835
0.29, 34.74586376028561
0.3, 33.539948412878324
0.31, 32.39085868419728
0.32, 31.294767447951436
0.33, 30.24830773508139
0.34, 29.248406089701707
0.35000000000000003, 28.292243447442036
0.36, 27.377228261802216
0.37, 26.50097309134406
0.38, 25.66127412388439
0.39, 24.8560932045689
0.4, 24.083542007753724
0.41000000000000003, 23.34186805186291
0.42, 22.629442304722126
0.43, 21.944748166528825
0.44, 21.286371650188958
0.45, 20.65299260585433
0.46, 20.043376858892184
0.47000000000000003, 19.456369149369063
0.48, 18.890886776776863
0.49, 18.345913867084736
0.5, 17.82049619033155
0.51, 17.31373646647282
0.52, 16.824790105351543
0.53, 16.35286133346623
0.54, 15.897199666204864
0.55, 15.457096689249337
0.56, 15.031883117242058
0.5700000000000001, 14.620926101609333
0.58, 14.223626762667008
0.59, 13.839417924042188
0.6, 13.467762029878774
0.61, 13.108149227452039
0.62, 12.760095599777507
0.63, 12.423141534369574
0.64, 12.096850215833252
0.65, 11.780806231231479
0.66, 11.4746142783041
0.67, 11.1778979676165
0.68, 10.890298710625062
0.6900000000000001, 10.611474686402364
0.7000000000000001, 10.341099880492585
0.71, 10.078863189981794
0.72, 9.824467589429423
0.73, 9.577629352790975
0.74, 9.338077326938025
0.75, 9.105552252742255
0.76, 8.879806130084662
0.77, 8.660601623452179
0.78, 8.447711505071906
0.79, 8.240918132826012
0.8, 8.040012960373087
0.81, 7.844796077176495
0.8200000000000001, 7.655075776283144
0.8300000000000001, 7.470668147899439
0.84, 7.291396696964997
0.85, 7.117091983059561
0.86, 6.94759128112578
0.87, 6.782738261593955
0.88, 6.622382688618617
0.89, 6.466380135222714
0.9, 6.314591714246868
0.91, 6.166883824078432
0.92, 6.023127908215096
0.93, 5.883200227779546
0.9400000000000001, 5.746981646180002
0.9500000000000001, 5.614357425149118
0.96, 5.485217031475341
0.97, 5.3594539537555415
0.98, 5.236965528584585
0.99, 5.1176527755969765
1., 5.001420240847576
1.01, 4.888175848039585
1.02, 4.777830757137288
1.03, 4.670299229943208
1.04, 4.5654985022386185
1.05, 4.463348662133217
1.06, 4.363772534172796
1.07, 4.266695569128954
1.08, 4.1720457388455765
1.09, 4.079753436083956
1.1, 3.989751379018221
1.11, 3.901974520134699
1.12, 3.816359959307013
1.1300000000000001, 3.7328468608206284
1.1400000000000001, 3.6513763741429095
1.1500000000000001, 3.5718915582387836
1.16, 3.4943373092540377
1.17, 3.418660291387906
1.18, 3.34480887079548
1.19, 3.2727330523661253
1.2, 3.2023844192322106
1.21, 3.1337160748740294
1.22, 3.066682587690672
1.23, 3.0012399379166346
1.24, 2.93734546676994
1.25, 2.874957827723565
1.26, 2.8140369397969285
1.27, 2.7545439427727647
1.28, 2.696441154248521
1.29, 2.639692028432319
1.3, 2.5842611166063736
1.31, 2.530114029177971
1.32, 2.4772173992449913
1.33, 2.4255388476070285
1.34, 2.3750469491562596
1.35, 2.3257112005853413
1.36, 2.2775019893534534
1.37, 2.230390563854467
1.3800000000000001, 2.184349004733356
1.3900000000000001, 2.13935019730024
1.4000000000000001, 2.095367804995616
1.41, 2.052376243857952
1.42, 2.0103506579536408
1.43, 1.969266895724984
1.44, 1.9291014872190493
1.45, 1.8898316221592575
1.46, 1.8514351288233204
1.47, 1.8138904536955935
1.48, 1.777176641858829
1.49, 1.7412733180977376
1.5, 1.706160668681778
1.51, 1.6718194238025192
1.52, 1.6382308406357908
1.53, 1.605376687005649
1.54, 1.5732392256246794
1.55, 1.5418011988876736
1.56, 1.51104581419677
1.57, 1.480956729797025
1.58, 1.4515180411020765
1.59, 1.4227142674903823
1.6, 1.3945303395543762
1.61, 1.3669515867844135
1.62, 1.3399637256706263
1.6300000000000001, 1.3135528482070686
1.6400000000000001, 1.2877054107822554
1.6500000000000001, 1.2624082234419398
1.6600000000000001, 1.2376484395090126
1.67, 1.213413545548714
1.68, 1.1896913516644667
1.69, 1.1664699821131725
1.7, 1.1437378662273952
1.71, 1.1214837296338565
1.72, 1.099696585756348
1.73, 1.0783657275934695
1.74, 1.0574807197610019
1.75, 1.0370313907889235
1.76, 1.017007825664212
1.77, 0.9974003586107983
1.78, 0.9781995660976487
1.79, 0.959396260067289
1.8, 0.9409814813767909
1.81, 0.9229464934436457
1.82, 0.9052827760896387
1.83, 0.8879820195753837
1.84, 0.8710361188191273
1.85, 0.8544371677935115
1.86, 0.8381774540938404
1.87, 0.8222494536723451
1.8800000000000001, 0.8066458257323411
1.8900000000000001, 0.791359407777289
1.9000000000000001, 0.7763832108090473
1.9100000000000001, 0.7617104146707057
1.92, 0.7473343635287182
1.93, 0.7332485614899773
1.94, 0.7194466683492601
1.95, 0.7059224954625691
1.96, 0.6926700017423347
1.97, 0.67968328977043
1.98, 0.6669566020250841
1.99, 0.6544843172181538
2., 0.6422609467387855
