# E[keV], Quenching[1]
6.694130e-01, 9.531260e-02
6.728740e-01, 9.561190e-02
6.763590e-01, 9.591110e-02
6.798670e-01, 9.621030e-02
6.833980e-01, 9.650940e-02
6.869520e-01, 9.680850e-02
6.905310e-01, 9.710750e-02
6.941330e-01, 9.740660e-02
6.977590e-01, 9.770580e-02
7.014090e-01, 9.800490e-02
7.050840e-01, 9.830420e-02
7.087830e-01, 9.860350e-02
7.125070e-01, 9.890290e-02
7.162560e-01, 9.920250e-02
7.200290e-01, 9.950220e-02
7.238280e-01, 9.980200e-02
7.276520e-01, 1.001020e-01
7.315020e-01, 1.004020e-01
7.353770e-01, 1.007030e-01
7.392780e-01, 1.010030e-01
7.432050e-01, 1.013040e-01
7.471580e-01, 1.016050e-01
7.511380e-01, 1.019060e-01
7.551440e-01, 1.022080e-01
7.591770e-01, 1.025100e-01
7.632360e-01, 1.028120e-01
7.673230e-01, 1.031140e-01
7.714370e-01, 1.034160e-01
7.755780e-01, 1.037190e-01
7.797470e-01, 1.040220e-01
7.839440e-01, 1.043260e-01
7.881690e-01, 1.046300e-01
7.924220e-01, 1.049330e-01
7.967030e-01, 1.052380e-01
8.010120e-01, 1.055420e-01
8.053510e-01, 1.058470e-01
8.097180e-01, 1.061520e-01
8.141150e-01, 1.064580e-01
8.185410e-01, 1.067640e-01
8.229960e-01, 1.070700e-01
8.274810e-01, 1.073760e-01
8.319960e-01, 1.076830e-01
8.365410e-01, 1.079900e-01
8.411160e-01, 1.082970e-01
8.457210e-01, 1.086050e-01
8.503580e-01, 1.089130e-01
8.550250e-01, 1.092210e-01
8.597240e-01, 1.095300e-01
8.644530e-01, 1.098380e-01
8.692140e-01, 1.101480e-01
8.740070e-01, 1.104570e-01
8.788320e-01, 1.107670e-01
8.836890e-01, 1.110770e-01
8.885790e-01, 1.113870e-01
8.935010e-01, 1.116980e-01
8.984560e-01, 1.120090e-01
9.034430e-01, 1.123210e-01
9.084650e-01, 1.126320e-01
9.135190e-01, 1.129440e-01
9.186070e-01, 1.132570e-01
9.237290e-01, 1.135690e-01
9.288860e-01, 1.138820e-01
9.340760e-01, 1.141960e-01
9.393010e-01, 1.145090e-01
9.445610e-01, 1.148230e-01
9.498570e-01, 1.151370e-01
9.551870e-01, 1.154520e-01
9.605530e-01, 1.157670e-01
9.659540e-01, 1.160820e-01
9.713920e-01, 1.163980e-01
9.768660e-01, 1.167130e-01
9.823760e-01, 1.170300e-01
9.879230e-01, 1.173460e-01
9.935080e-01, 1.176630e-01
9.991290e-01, 1.179800e-01
1.004790e+00, 1.182980e-01
1.010480e+00, 1.186160e-01
1.016220e+00, 1.189340e-01
1.021990e+00, 1.192520e-01
1.027800e+00, 1.195710e-01
1.033650e+00, 1.198900e-01
1.039540e+00, 1.202100e-01
1.045470e+00, 1.205300e-01
1.051440e+00, 1.208500e-01
1.057440e+00, 1.211710e-01
1.063490e+00, 1.214920e-01
1.069580e+00, 1.218130e-01
1.075710e+00, 1.221350e-01
1.081880e+00, 1.224560e-01
1.088090e+00, 1.227790e-01
1.094340e+00, 1.231010e-01
1.100630e+00, 1.234240e-01
1.106970e+00, 1.237480e-01
1.113340e+00, 1.240720e-01
1.119760e+00, 1.243960e-01
1.126230e+00, 1.247200e-01
1.132730e+00, 1.250450e-01
1.139280e+00, 1.253700e-01
1.145870e+00, 1.256960e-01
1.152510e+00, 1.260210e-01
1.159190e+00, 1.263480e-01
1.165920e+00, 1.266740e-01
1.172690e+00, 1.270010e-01
1.179500e+00, 1.273290e-01
1.186360e+00, 1.276560e-01
1.193270e+00, 1.279840e-01
1.200220e+00, 1.283130e-01
1.207220e+00, 1.286420e-01
1.214270e+00, 1.289710e-01
1.221360e+00, 1.293000e-01
1.228500e+00, 1.296300e-01
1.235690e+00, 1.299610e-01
1.242920e+00, 1.302910e-01
1.250200e+00, 1.306220e-01
1.257540e+00, 1.309540e-01
1.264920e+00, 1.312860e-01
1.272350e+00, 1.316180e-01
1.279830e+00, 1.319510e-01
1.287360e+00, 1.322840e-01
1.294940e+00, 1.326170e-01
1.302570e+00, 1.329510e-01
1.310250e+00, 1.332850e-01
1.317980e+00, 1.336200e-01
1.325760e+00, 1.339550e-01
1.333600e+00, 1.342900e-01
1.341480e+00, 1.346260e-01
1.349430e+00, 1.349620e-01
1.357420e+00, 1.352980e-01
1.365460e+00, 1.356350e-01
1.373560e+00, 1.359730e-01
1.381720e+00, 1.363110e-01
1.389930e+00, 1.366490e-01
1.398190e+00, 1.369870e-01
1.406510e+00, 1.373260e-01
1.414880e+00, 1.376660e-01
1.423310e+00, 1.380060e-01
1.431800e+00, 1.383460e-01
1.440340e+00, 1.386870e-01
1.448940e+00, 1.390280e-01
1.457590e+00, 1.393690e-01
1.466310e+00, 1.397110e-01
1.475080e+00, 1.400530e-01
1.483910e+00, 1.403960e-01
1.492800e+00, 1.407390e-01
1.501750e+00, 1.410830e-01
1.510760e+00, 1.414270e-01
1.519830e+00, 1.417720e-01
1.528950e+00, 1.421170e-01
1.538140e+00, 1.424620e-01
1.547390e+00, 1.428080e-01
1.556710e+00, 1.431540e-01
1.566080e+00, 1.435010e-01
1.575520e+00, 1.438480e-01
1.585020e+00, 1.441950e-01
1.594580e+00, 1.445430e-01
1.604210e+00, 1.448920e-01
1.613900e+00, 1.452410e-01
1.623660e+00, 1.455900e-01
1.633480e+00, 1.459400e-01
1.643360e+00, 1.462900e-01
1.653310e+00, 1.466410e-01
1.663330e+00, 1.469920e-01
