# E[keV], Quenching[1]
7.160e-02,1.959e-02
7.160e-02,1.959e-02
7.170e-02,1.966e-02
7.170e-02,1.966e-02
7.180e-02,1.968e-02
7.180e-02,1.968e-02
7.190e-02,1.972e-02
7.200e-02,1.974e-02
7.200e-02,1.974e-02
7.210e-02,1.979e-02
7.210e-02,1.979e-02
7.220e-02,1.983e-02
7.220e-02,1.983e-02
7.230e-02,1.987e-02
7.230e-02,1.987e-02
7.240e-02,1.989e-02
7.250e-02,1.991e-02
7.250e-02,1.991e-02
7.260e-02,1.994e-02
7.260e-02,1.994e-02
7.270e-02,1.998e-02
7.270e-02,1.998e-02
7.280e-02,2.002e-02
7.290e-02,2.002e-02
7.290e-02,2.002e-02
7.300e-02,2.004e-02
7.300e-02,2.004e-02
7.310e-02,2.009e-02
7.320e-02,2.010e-02
7.320e-02,2.010e-02
7.330e-02,2.012e-02
7.330e-02,2.012e-02
7.340e-02,2.018e-02
7.350e-02,2.018e-02
7.350e-02,2.018e-02
7.360e-02,2.020e-02
7.360e-02,2.020e-02
7.370e-02,2.023e-02
7.370e-02,2.023e-02
7.380e-02,2.024e-02
7.390e-02,2.024e-02
7.390e-02,2.024e-02
7.400e-02,2.028e-02
7.400e-02,2.028e-02
7.410e-02,2.030e-02
7.420e-02,2.031e-02
7.420e-02,2.031e-02
7.430e-02,2.034e-02
7.430e-02,2.034e-02
7.440e-02,2.037e-02
7.450e-02,2.037e-02
7.450e-02,2.037e-02
7.460e-02,2.038e-02
7.460e-02,2.038e-02
7.470e-02,2.038e-02
7.480e-02,2.041e-02
7.480e-02,2.041e-02
7.490e-02,2.041e-02
7.490e-02,2.041e-02
7.500e-02,2.043e-02
7.510e-02,2.043e-02
7.510e-02,2.043e-02
7.520e-02,2.047e-02
7.520e-02,2.047e-02
7.530e-02,2.048e-02
7.540e-02,2.048e-02
7.540e-02,2.048e-02
7.550e-02,2.048e-02
7.560e-02,2.049e-02
7.560e-02,2.049e-02
7.570e-02,2.051e-02
7.570e-02,2.051e-02
7.580e-02,2.052e-02
7.590e-02,2.052e-02
7.590e-02,2.052e-02
7.600e-02,2.053e-02
7.600e-02,2.053e-02
7.610e-02,2.054e-02
7.620e-02,2.056e-02
7.620e-02,2.056e-02
7.630e-02,2.058e-02
7.640e-02,2.058e-02
7.640e-02,2.058e-02
7.650e-02,2.058e-02
7.650e-02,2.058e-02
7.660e-02,2.059e-02
7.670e-02,2.058e-02
7.670e-02,2.058e-02
7.680e-02,2.059e-02
7.690e-02,2.062e-02
7.690e-02,2.062e-02
7.700e-02,2.063e-02
7.710e-02,2.063e-02
7.710e-02,2.063e-02
7.720e-02,2.063e-02
7.720e-02,2.063e-02
7.730e-02,2.063e-02
7.740e-02,2.063e-02
7.740e-02,2.063e-02
7.750e-02,2.065e-02
7.760e-02,2.065e-02
7.760e-02,2.065e-02
7.770e-02,2.066e-02
7.780e-02,2.066e-02
7.780e-02,2.066e-02
7.790e-02,2.068e-02
7.800e-02,2.068e-02
7.800e-02,2.068e-02
7.810e-02,2.068e-02
7.810e-02,2.068e-02
7.820e-02,2.068e-02
7.830e-02,2.068e-02
7.830e-02,2.068e-02
7.840e-02,2.068e-02
7.850e-02,2.068e-02
7.850e-02,2.068e-02
7.860e-02,2.068e-02
7.870e-02,2.069e-02
7.870e-02,2.069e-02
7.880e-02,2.070e-02
7.890e-02,2.070e-02
