# E_nu[MeV], flux[count/MeV/cm^2/s]
6.500000000000000222e-01, 3.661258544548483887e+12
6.600000000000000311e-01, 3.637830312496019043e+12
6.700000000000000400e-01, 3.614402080443554688e+12
6.800000000000000488e-01, 3.599362665055774414e+12
6.900000000000000577e-01, 3.585059655090425293e+12
7.000000000000000666e-01, 3.570756645125075684e+12
7.099999999999999645e-01, 3.560455401410901855e+12
7.199999999999999734e-01, 3.566940787555557129e+12
7.299999999999999822e-01, 3.573426173700211914e+12
7.399999999999999911e-01, 3.572707784423797363e+12
7.500000000000000000e-01, 3.569019783446478027e+12
7.600000000000000089e-01, 3.554209758227955078e+12
7.700000000000000178e-01, 3.539399733009431152e+12
7.800000000000000266e-01, 3.524589707790908203e+12
7.900000000000000355e-01, 3.502878595750244141e+12
8.000000000000000444e-01, 3.478731421536807129e+12
8.100000000000000533e-01, 3.454584247323369629e+12
8.200000000000000622e-01, 3.430698431013083984e+12
8.300000000000000711e-01, 3.427628507053814453e+12
8.399999999999999689e-01, 3.424558583094545410e+12
8.499999999999999778e-01, 3.421488659135274902e+12
8.599999999999999867e-01, 3.414821673335469238e+12
8.699999999999999956e-01, 3.399161403417026367e+12
8.800000000000000044e-01, 3.383501133498583984e+12
8.900000000000000133e-01, 3.367840863580141113e+12
9.000000000000000222e-01, 3.365570765183134766e+12
9.100000000000000311e-01, 3.373864290472987305e+12
9.200000000000000400e-01, 3.382305364058068359e+12
9.300000000000000488e-01, 3.392579403377830078e+12
9.400000000000000577e-01, 3.402853442697592285e+12
9.500000000000000666e-01, 3.400326427083764160e+12
9.599999999999999645e-01, 3.388907439910405273e+12
9.699999999999999734e-01, 3.377488452737047363e+12
9.799999999999999822e-01, 3.366069465563688965e+12
9.899999999999999911e-01, 3.410537352721174316e+12
1.000000000000000000e+00, 3.440500104773527344e+12
1.010000000000000009e+00, 3.450115710618306641e+12
1.020000000000000018e+00, 3.455374100847438477e+12
1.030000000000000027e+00, 3.433185213147350098e+12
1.040000000000000036e+00, 3.410996325447261719e+12
1.050000000000000044e+00, 3.388807437747173828e+12
1.060000000000000053e+00, 3.366618550047085938e+12
1.070000000000000062e+00, 3.343219630257972168e+12
1.080000000000000071e+00, 3.313828170599395508e+12
1.090000000000000080e+00, 3.284436710940818848e+12
1.100000000000000089e+00, 3.255045251282243164e+12
1.110000000000000098e+00, 3.202335332581052734e+12
1.120000000000000107e+00, 3.121616673204135254e+12
1.130000000000000115e+00, 3.047133435122208496e+12
1.140000000000000124e+00, 2.979225584162659668e+12
1.150000000000000133e+00, 2.915887880772996094e+12
1.159999999999999920e+00, 2.856758683578796387e+12
1.169999999999999929e+00, 2.794583280829742188e+12
1.179999999999999938e+00, 2.712861263291343750e+12
1.189999999999999947e+00, 2.625284667667476074e+12
1.199999999999999956e+00, 2.576460462557913086e+12
1.209999999999999964e+00, 2.536665949914738281e+12
1.219999999999999973e+00, 2.493357073618325195e+12
1.229999999999999982e+00, 2.452114864975179688e+12
1.239999999999999991e+00, 2.416162339196283691e+12
1.250000000000000000e+00, 2.315938444690880859e+12
1.260000000000000009e+00, 2.298415128562202637e+12
1.270000000000000018e+00, 2.280891812433524414e+12
1.280000000000000027e+00, 2.263368496304846680e+12
1.290000000000000036e+00, 2.245845180176167480e+12
1.300000000000000044e+00, 2.228321864047489746e+12
1.310000000000000053e+00, 2.210798547918811523e+12
1.320000000000000062e+00, 2.193275231790133301e+12
1.330000000000000071e+00, 2.175751915661454102e+12
1.340000000000000080e+00, 2.158228599532776611e+12
1.350000000000000089e+00, 2.140705283404097900e+12
1.360000000000000098e+00, 2.123181967275419922e+12
1.370000000000000107e+00, 2.105658651146741455e+12
1.380000000000000115e+00, 2.088135335018063232e+12
1.390000000000000124e+00, 2.070612018889384766e+12
1.400000000000000133e+00, 2.053088702760706543e+12
1.409999999999999920e+00, 2.035565386632028809e+12
1.419999999999999929e+00, 2.018042070503350342e+12
1.429999999999999938e+00, 2.000518754374671875e+12
1.439999999999999947e+00, 1.982995438245993652e+12
1.449999999999999956e+00, 1.965472122117315430e+12
1.459999999999999964e+00, 1.947948805988637451e+12
1.469999999999999973e+00, 1.930425489859958496e+12
1.479999999999999982e+00, 1.912902173731280762e+12
1.489999999999999991e+00, 1.895378857602602295e+12
1.500000000000000000e+00, 1.877855541473924072e+12
1.510000000000000009e+00, 1.868213940733186523e+12
1.520000000000000018e+00, 1.858572339992449219e+12
1.530000000000000027e+00, 1.848930739251711670e+12
1.540000000000000036e+00, 1.839289138510974365e+12
1.550000000000000044e+00, 1.829647537770237061e+12
1.560000000000000053e+00, 1.820005937029499512e+12
1.570000000000000062e+00, 1.810364336288762207e+12
1.580000000000000071e+00, 1.800722735548025146e+12
1.590000000000000080e+00, 1.791081134807287598e+12
1.600000000000000089e+00, 1.781439534066549805e+12
1.610000000000000098e+00, 1.771797933325812744e+12
1.620000000000000107e+00, 1.762156332585075195e+12
1.630000000000000115e+00, 1.752514731844338135e+12
1.640000000000000124e+00, 1.742873131103600586e+12
1.650000000000000133e+00, 1.733231530362863281e+12
1.660000000000000142e+00, 1.723589929622125732e+12
1.669999999999999929e+00, 1.713948328881388916e+12
1.679999999999999938e+00, 1.704306728140651123e+12
1.689999999999999947e+00, 1.694665127399913818e+12
1.699999999999999956e+00, 1.685023526659176270e+12
